35650               ,FORKLIFT PSN WAREHOUSE                  
545BM01OMC          ,"PUMP, OIL C MILL 3, FAN MILL MOTOR M012 "
54ABM01LQ1          ,"LUBRICATION, PUMP, GREASE CM1 GIRTH GEAR"
54ABM01LQ2          ,"LUBRICATION, PUMP, GREASE CM1 GIRTH GEAR"
550EPTR01           ,DC TRANSFORMER 1                        
550EPTR02           ,DC TRANSFORMER 2                        
552CP01MO1          ,"MTR, NO.1 552CP1,160KW,2955RPM,275A,415V"
552CP01MO2          ,"MOTOR 552CP01, 0.55KW,415V,1.1A,IP54    "
552RP01BG01         ,"BEARING, R / PRESS, 1.1 (MOVABLE - DE)  "
552RP01BG02         ,"BEARING, R / PRESS, 1.2 (MOVABLE - NDE) "
552RP01CO01         ,"COUPLING, FLUID RP - MOVABLE SIDE       "
552RP01CY01         ,"CYLINDER, FLAT, 1 ROLLER PRESS, DE      "
552RP01CY02         ,"CYLINDER, FLAT, 2 ROLLER PRESS, NDE     "
552RP01GB01         ,GEARBOX1 MAAG MOVABLE                   
552RP01HY01         ,"HYD. UNIT, L/STONE RP HYD. OIL PUMP     "
552RP01LQ01         ,"LUBRICATION, PUMP, GREASE L/S RP        "
552RP01LUB1         ,"PUMP, OIL, LUBRICATION, 1 L/STONE RP    "
552RP01RO01         ,ROLLER(STATIONARY)                      
552RP02BG01         ,"BEARING, R / PRESS, STAT. SIDE RP, DE   "
552RP02BG02         ,"BEARING, R / PRESS, STATSIDE RP, NDE    "
552RP02CO02         ,"COUPLING, FLUID FOR CONE CRUSHER        "
552RP02GB01         ,"GEARBOX1 MAAG GEARBOX, STATIONARY       "
552RP02LUB2         ,"PUMP, OIL, LUB., 2 STATIONARY SIDE      "
552RP02RO02         ,ROLLER(MOVABLE)                         
608FD30136          ,FORKLIFT NO 6                           
620BE01AX1          ,"GEARBOX, INCHING 620 BUCKET ELEVATOR    "
620BE01GB1          ,GEARBOX FOR 620 BUCKET                  
620BE01MO1          ,"MTR, MAIN DRIVE 620 BE, 15KW,970RPM,415V"
620BE01MO2          ,"MTR, INCHING 620 BE, 2.2KW,1430RPM,415V "
630DA01MO1          ,"MOTOR EX FAN 630FN01 DAMPER, 0.2KW,415V "
630PM01SP1          ,"SPOUT, PACKER, 1 630                    "
630PM01SP2          ,"SPOUT, PACKER, 1 630                    "
630PM01SP3          ,"SPOUT, PACKER, 1 630                    "
630PM01SP4          ,"SPOUT, PACKER, 1 630                    "
630PM01SP5          ,"SPOUT, PACKER, 1 630                    "
630PM01SP6          ,"SPOUT, PACKER, 1 630                    "
630PM01SP7          ,"SPOUT, PACKER, 1 630                    "
630PM01SP8          ,"SPOUT, PACKER, 1 630                    "
631PM01SP1          ,"SPOUT, PACKER, 1 631                    "
631PM01SP2          ,"SPOUT, PACKER, 2 631                    "
631PM01SP3          ,"SPOUT, PACKER, 3 631                    "
631PM01SP4          ,"SPOUT, PACKER, 4 631                    "
631PM01SP5          ,"SPOUT, PACKER, 5 631                    "
631PM01SP6          ,"SPOUT, PACKER, 6 631                    "
631PM01SP7          ,"SPOUT, PACKER, 7 631                    "
631PM01SP8          ,"SPOUT, PACKER, 8 631                    "
63APM01SP1          ,"SPOUT, PACKER, 1 63A                    "
63APM01SP2          ,"SPOUT, PACKER, 2 63A                    "
63APM01SP3          ,"SPOUT, PACKER, 3 63A                    "
63APM01SP4          ,"SPOUT, PACKER, 4 63A                    "
63APM01SP5          ,"SPOUT, PACKER, 5 63A                    "
63APM01SP6          ,"SPOUT, PACKER, 6 63A                    "
63APM01SP7          ,"SPOUT, PACKER, 7 63A                    "
63APM01SP8          ,"SPOUT, PACKER, 8 63A                    "
63BPM01SP1          ,"SPOUT, PACKER, 1 63B                    "
63BPM01SP2          ,"SPOUT, PACKER, 2 63B                    "
63BPM01SP3          ,"SPOUT, PACKER, 3 63B                    "
63BPM01SP4          ,"SPOUT, PACKER, 4 63B                    "
63BPM01SP5          ,"SPOUT, PACKER, 5 63B                    "
63BPM01SP6          ,"SPOUT, PACKER, 6 63B                    "
63BPM01SP7          ,"SPOUT, PACKER, 7 63B                    "
63BPM01SP8          ,"SPOUT, PACKER, 8 63B                    "
7UTILCOMP06         ,COMPRESSOR COMPONENT A20CP01            
7UTILMOLV06         ,"MOTOR, DRIVE COMP., 180KW,2970RPM,415V  "
836ABM01LQ6      ,"PUMP, GREASE, TRANSFER RM1 GIRTH GEAR   "
BHP9345             ,FORKLIFT N0 5                           
BHP9560             ,FORKLIFT NO 4                           
BJW5066             ,FORKLIFT                                
BK-000              ,BUKIT KETRI MACHINERIES                 
BK-BBC              ,BUKIT KETRI WAGON/BBC                   
BK-LOCO             ,BUKIT KETRI LOCOMOTIVES                 
BKP2606             ,FORKLIFT 4.5 TONNE WARE HOUSE PACKING PL
BKP2687             ,FORKLIFT 4.5 TONNE WARE HOUSE PACKING   
BKT 1357            ,FORKLIFT 5.0 TON                        
BKT 4150            ,FORKLIFT 3.5 TON                        
BKY2066             ,FORKLIFT 4.5 TONNE WARE HOUSE PACKING PL
BLE7952             ,FORKLIFT PACKING PLANT3                 
BOBCAT01            ,SKIDLOADER PRODUCTION BOBCAT 1          
BOBCAT02            ,SKIDLOADER PRODUCTION BOBCAT 2          
BOBCAT03            ,SKIDLOADER PRODUCTION BOBCAT 3          
C--200              ,QUARRY EQUIPMENT AND MACHINERIES        
C--300              ,RAW MILL EQUIPMENT AND MACHINERIES      
C--400              ,PH/KILN/COOLER EQUIPMENT AND MACHINERIES
C--500              ,CEMENT MILL EQUIPMENT AND MACHINERIES   
C--600              ,PACKING PLANT EQUIPMENT AND MACHINERIES 
C--A00              ,AUX. EQUIPMENT AND MACHINERIES          
C--A10              ,COAL GRINDING AND FIRING DEPARTMENT     
C--A20              ,PLANT INDUSTRIAL AIR GROUP              
C--A30              ,PLANT WATER SUPPLY GROUP                
C--E00              ,NSCI PERLIS ELECTRICAL MACHINERIES      
C--EPL              ,NSCI PERLIS ELECTRICAL PANEL            
C--ESW              ,NSCI PERLIS MAIN SWITCH GEAR            
C--ETR              ,NSCI PERLIS MV TRANSFORMER              
C--PLC              ,NSCI PERLIS PLC AND SERVER              
C0-000              ,NSCI PERLIS EQUIMENT AND MACHINERIS     
200,SHALE CRUSHING EQUIPMENT                
20A              ,SHALE PREPARATION LINE A                
20ALG01          ,LIGHTING JAW CRUSHER                    
20B              ,SHALE PREPARATION LINE B                
20BAI01          ,"AIR, CONDITION SHALE CRUSHER            "
20BAI02          ,"AIR, CONDITION SHALE CRUSHER MCC        "
20BLG01          ,LIGHTING SHALE CRUSHE                   
20ELECT          ,SHALE PREPARATION ELECTRICAL PANEL      
21AAC01          ,"CONVEYOR, APRON, FEEDER TO CRUSHER QR   "
21ABC01          ,"CONVEYOR, BELT TO HOPPER QR             "
21ABC02          ,"CONVEYOR, BELT TO SECONDARY CRUSHER QR  "
21ABC03          ,"CONVEYOR, BELT TO STORAGE BIN           "
21ABI01          ,"BIN, STORAGE LIMESTONE HOPPER QR        "
21ABI02          ,"BIN, STORAGE, 1 FOR LIMESTONE QR        "
21ABI03          ,"BIN, STORAGE, 2 FOR LIMESTONE QR        "
21ABI04          ,"BIN, STORAGE, 3 FOR LIMESTONE QR        "
21ABI05          ,"BIN, STORAGE, 4 FOR LIMESTONE QR        "
21ACR01          ,"CRUSHER, JAW FOR LIMESTONE QR           "
21ACR02          ,"CRUSHER, SECONDARY FOR LIMESTONE QR     "
21ALQ01          ,"LUBRICATION, PUMP FOR CONE CRUSHER      "
21AVS01          ,"SCREEN, VIBRATING TOP OF STORAGE BIN QR "
21BAC01          ,"CONVEYOR, APRON SHALE CRUSHER           "
21BAS01          ,AIR SLIDE FOR FCC                       
21BBC01          ,"CONVEYOR, BELT AFTER CRUSHER            "
21BBC02          ,"CONVEYOR, BELT TO 2ND CRUSHER           "
21BBC03          ,"CONVEYOR, BELT UNDER 2ND CRUSHER        "
21BBC04          ,"CONVEYOR, BELT TT BELT TO STORAGE SILO  "
21BBF01          ,"FILTER, BAG SHALE CRUSHING PLANT        "
21BBF02          ,"FILTER, BAG ON TOP STORAGE BIN 1 FCC    "
21BBI01          ,"BIN, STORAGE, 1 90T FCC                 "
21BBI02          ,"BIN, STORAGE, 2 56T FCC                 "
21BBI03          ,"BIN, STORAGE, 3 73T FCC                 "
21BCA01          ,"CRANE, OVERHEAD FOR SHALE PLANT         "
21BCA02          ,"HOIST, ELECTRIC ON TOP OF LS SILO       "
21BCP01          ,"COMPRESSOR, AIR                         "
21BCR01          ,"CRUSHER, PRIMARY IMPACT SHALE           "
21BCR02          ,"CRUSHER, SECONDARY SHALE                "
21BFN01          ,"FAN, EXHAUST DUST PLANT                 "
21BFN02          ,"FAN, AIRSLIDE FCC                       "
21BHP01          ,HOPPER FOR APRON CONVEYOR               
21BSC01          ,"CONVEYOR, SCREW, EXCENTRA               "
21BSC02          ,"CONVEYOR, SCREW TO BELT CONVEYOR FCC    "
21BTR01          ,"TRANSFORMER SHALE CRUSHING, 6.6KV/415V  "
21BVS01          ,"SCREEN, VIBRATING                       "
300,RAW MEAL PREPARATION LINE 1             
300LG01          ,LIGHTING RAW MILL NO.1                  
310,SHALE TRANSPORT TO HOPPER RM1           
310BC02          ,"CONVEYOR, BELT, 2 OLD SHALE BELT        "
310HP01          ,"HOPPER SHALE, RM 1                      "
310HP02          ,"HOPPER IRON ORE, RM1                    "
311,LIMESTONE TRANSPORT GROUP               
311BC01          ,"CONVEYOR, BELT SILO TO HOPPER, L/STONE  "
311BC02          ,"CONVEYOR, BELT BELOW 311BC1, L/STONE    "
311BC03          ,"CONVEYOR, BELT FOR M/SEPARATOR          "
311BC04          ,"CONVEYOR, BELT L/S HOPPER TO R/P HOPPER "
311BF01          ,"FILTER, BAG FOR L/STONE TRANS DEDUSTING "
311CP01          ,"COMPRESSOR, AIR FOR L/STONE SILO GATE   "
311FN01          ,"FAN, EXHAUST FOR BAG FILTER             "
311HP01          ,"HOPPER LIMESTONE, RM 1                  "
311MS01          ,"SEPARATOR, MAGNETIC L/S, BEFORE BIN     "
311RF01          ,"FEEDER, ROTARY FOR BAG FILTER           "
311VF01          ,"FEEDER, VIBRATING UNDER L/S SILO 1      "
311VF02          ,"FEEDER, VIBRATING UNDER L/S SILO 1      "
311VF03          ,"FEEDER, VIBRATING UNDER L/S SILO 1      "
34ABM01LQ1       ,"LUBRICATION, PUMP, 36ABM5S01            "
35A              ,RAW MILL 1FEED SYSTEM(OLD LINE)         
35AAC01          ,"CONVEYOR, APRON, SHALE FOR RAW MILL 1   "
35AAI01          ,"AIR, CONDITION RAW MILL 1               "
35AAI02          ,"AIR, CONDITION LINE1 PL1                "
35AAI03          ,"AIR, CONDITION ELECTRIC ROOM 15         "
35AAS01          ,AIR SLIDE (31014)                       
35ABC01          ,"CONVEYOR, BELT TO OLD LINE,FROM R/PRESS "
35ABC02          ,"CONVEYOR, BELT FROM BC 1 TO EXIST MILL  "
35ABC03          ,"CONVEYOR, BELT RM 1 SHALE, BC4          "
35ABC04          ,"CONVEYOR, BELT TO BC05, SHALE FEEDING   "
35ABC05          ,"CONVEYOR, BELT MAIN FEEDING TO MILL 1   "
35ACA01          ,"HOIST, ELECTRIC RAW MILL 1              "
35AFM01          ,"METER, FLOW, GRIT FOR RAW MILL 1        "
35AFN01          ,"FAN, AIRSLIDE, RETURN                   "
35AFN02          ,"FAN, STANDBY RAW MILL 1 RETURN AIRSLIDE "
35ARF01          ,"FEEDER, ROTARY FOR ROLLER PRESS GRIT BIN"
35ASX01          ,"SCRAPER, CHAIN SHALE                    "
35AWF01          ,"FEEDER, WEIGHT LIMESTONE                "
35AWF02          ,"FEEDER, WEIGHT SHALE, RM 1              "
35AWF03          ,"FEEDER, WEIGHT IRON, RM1                "
35AWF04          ,"FEEDER, WEIGHT SAND, RM1                "
35B              ,LIMESTONE TRANSPORT TO R/PRESS          
35BAC01          ,"CONVEYOR, APRON, L/STONE FOR RP         "
35BBC01          ,"CONVEYOR, BELT TO ROLLER PRESS PRE BIN  "
35BBE01          ,"ELEVATOR, BUCKET L/S R/PRESS REJECT     "
35BBI01          ,"BIN, STORAGE LIMESTONE BIN FOR RP       "
35BMT01          ,"DETECTOR, METAL LIMESTONE               "
35BMW01          ,GATE R/P DEFLECTOR CHUTE                
35BNG01          ,"GATE, NEEDLE UNDER LIMESTONE BIN OF RP  "
35BWF01          ,"FEEDER, WEIGH LIMESTONE ROLLER PRESS    "
36A              ,RAW MILL 1 GRINDING GROUP               
36AAS01          ,AIR SLIDE RAW MILL 1 TO AIRLIFT         
36ABM01          ,"MILL, BALL RAW MILL 1                   "
36ABM01LQ1       ,"PUMP, OIL, HIGH PRESSURE RM1 INLET      "
36ABM01LQ2       ,"PUMP, OIL, HIGH PRESSURE RM1 OUTLET     "
36ABM01LQ3       ,"PUMP, OIL, LOW PRESSURE RM1 INLET       "
36ABM01LQ4       ,"PUMP, OIL, LOW PRESSURE RM1 OUTLET      "
36ABM01LQ5       ,"PUMP, OIL, LUBRICATION, 1 RM1 G/BOX     "
36ABM01LQ6       ,"PUMP, OIL, LUBRICATION, 2 RM1 G/BOX     "
36ABM01MO1       ,"MOTOR, MAIN DRIVE, RM1                  "
36ACN01          ,"SEPARATOR, CYCLONE RM CYCLONE           "
36ACP01          ,"COMPRESSOR, AIR FORRM1 GIRTH GEAR SPRAY "
36ACP02          ,"COMPRESSOR, AIR, BESIDE LIFT LINE 1     "
36AFN01          ,"FAN, CIRCULATING                        "
36AFN02          ,"FAN, AIRSLIDE                           "
36ASC01          ,"CONVEYOR, SCREW RAW MILL 1 TWIN CYCLONE "
36ASC02          ,SCREW 36ASC01                           
36ASR01          ,"SEPARATOR, AIR RAW MILL 1               "
36B              ,ROLLER PRESS SYSTEM                     
36BBC01          ,"CONVEYOR, BELT FROM RP TO HAMMER MILL   "
36BBC02          ,"CONVEYOR, BELT GRIT RETURN TO RP        "
36BBF01          ,"FILTER, BAG FOR L/STONE RP DEDUSTING    "
36BBF02          ,"FILTER, BAG RP RAW MEAL DEDUSTING       "
36BBI01          ,"BIN, STORAGE LIMESTONE BIN FOR RP       "
36BCA01          ,"HOIST, ELECTRIC LIMESTONE ROLLER PRESS  "
36BCA02          ,"HOIST, ELECTRIC LIMESTONE RP WORKSHOP   "
36BCN01          ,"SEPARATOR, CYCLONE LIMESTONE RP         "
36BCP01          ,"COMPRESSOR, AIR, UTILITY RP, UNDER B/C 1"
36BDA01          ,DAMPER ROLLER PRESS REJECT MATERIAL     
36BFN01          ,"FAN, EXHAUST 36BBF01 L/STONE RP         "
36BFN02          ,"FAN, EXHAUST FOR 36BBF02                "
36BFN03          ,"FAN, CIRCULATING L/STONE ROLLER PRESS   "
36BFV01          ,"VALVE, FLAP ABOVE HAMMER MILL           "
36BGA01          ,"GATE, CONTROL L/STONE RP MATERIAL FLOW  "
36BHC01          ,"CRUSHER, HAMMER, GRIT LIMESTONE         "
36BHT01          ,HYDRAULIC PUMP FOR ROLLER PRESS         
36BLC01          ,"LOAD CELL, ROLLER PRESS L/STONE BIN     "
36BLD01          ,"DAMPER, CONTROL CIRCULATING FAN         "
36BLD02          ,"DAMPER, CONTROL BETWEEN NEW GCT/HAMMER  "
36BLD03          ,"DAMPER, HOT GAS FROM PREHEATER/HAMMER   "
36BLD04          ,DAMPER BETWEEN NEW S.TOWER & CIRC. FAN  
36BRF01          ,"FEEDER, ROTARY FOR BAG FILTER           "
36BRF02          ,"FEEDER, ROTARY FOR BAG FILTER           "
36BRP01          ,"PRESS, ROLLER MOV.SIDE LIMESTONE        "
36BRP02          ,"PRESS, ROLLER STA.SIDE LIMESTONE        "
36BSC01          ,"CONVEYOR, SCREW                         "
36BSC02          ,"CONVEYOR, SCREW                         "
36BSG01          ,"GATE, SHUT OFF ROLLERPRESS BIN          "
36BSG02          ,SHUT OFF GATE L/S BIN DISCHARGE SYSTEM  
36BSR01          ,"SEPARATOR, GRIT LIMESTONE RP            "
36BTR01          ,TRANSFORMER RM1 ROLLER PRESS DEPT       
37A              ,RAW MEAL TRANSPORT                      
37AAI01          ,"AIR, CONDITION ELECTRIC ROOM 13         "
37AAS01          ,AIR SLIDE FROM TWIN CYCLONE TO BUCKET   
37AAS02          ,AIR SLIDE TO RAW MIX SILO X             
37AAS03          ,AIR SLIDE TO RAW MIX SILO 1             
37ABE01          ,"ELEVATOR, BUCKET RAW MEAL               "
37ABF01          ,"FILTER, BAG SILO TOP                    "
37ABF02          ,"FILTER, BAG SILO TOP                    "
37ABF03          ,"FILTER, BAG SILO TOP                    "
37AFN01          ,"FAN, EXHAUST                            "
37AFN02          ,"FAN, EXHAUST                            "
37AFN03          ,"FAN, EXHAUST                            "
37AFN04          ,"FAN, AIRSLIDE FOR RETURN AIRSLIDE       "
37AFN05          ,"FAN, AIRSLIDE                           "
37AFN06          ,"FAN, AIRSLIDE 37A                       "
37AFN07          ,"FAN, AIRSLIDE 37A                       "
37ALD01          ,"CONTROL, DAMPER                         "
37ALD02          ,"CONTROL, DAMPER                         "
37ALD03          ,"CONTROL, DAMPER                         "
37ALD04          ,"CONTROL, DAMPER                         "
37ALQ01          ,"PUMP, LUBRICATION FOR SCREW 37A SC7/SC8 "
37ALQ01MO1       ,"MOTO R, LUB. PUMP FOR 37ASC7/SC8 37A    "
37ALQ02          ,"PUMP, LUBRICATION FOR SCREW 37A SC05/06 "
37ALQ02MO1       ,"MOTO R, LUB. PUMP FOR 37ASC05/06 37A    "
37ASC04          ,"CONVEYOR, SCREW 1ST FLOOR               "
37ASC05          ,"CONVEYOR, SCREW TO NEW AIRLIFT          "
37ASC06          ,"CONVEYOR, SCREW EXIST. EP TO NEW AIRLIFT"
37ASC07          ,"CONVEYOR, SCREW RAW MEAL                "
37ASC08          ,"CONVEYOR, SCREW RAW MEAL                "
37ASC09          ,"CONVEYOR, SCREW RAW MEAL                "
37ASC10          ,"CONVEYOR, SCREW RAW MEAL                "
37ASC12          ,"CONVEYOR, SCREW RAW MEAL                "
37ASG01          ,"GATE , SHUT OFF TO NEW/OLD AIRLIFT      "
37ASG02          ,"GATE, SHUT OFF SILO1/SILO2              "
37ATR01          ,TRANSFORMER RAW MILL 1 & COAL MILL A    
37B              ,UPGRADED RAW MEAL TRANSPORT             
37BAI06          ,"AIR, CONDITION ELECTRIC ROOM 9          "
37BAL01          ,AIR LIFT TO RAW MEAL SILO               
37BAS01          ,AIR SLIDE                               
37BAS02          ,AIR SLIDE                               
37BAS03          ,AIR SLIDE                               
37BAS04          ,AIR SLIDE                               
37BAS05          ,AIR SLIDE                               
37BAS07          ,AIR SLIDE TO RAW MIX SILO 1/X           
37BAS08          ,AIR SLIDE                               
37BBF01          ,"FILTER, BAG                             "
37BBL01          ,"BLOWER, AIRLIFT                         "
37BBL02          ,"BLOWER, AIRLIFT                         "
37BFN01          ,"FAN, AIRSLIDE FOR 37BAS01/02/03         "
37BFN02          ,"FAN, AIRSLIDE FOR 37BAS04               "
37BFN03          ,"FAN, AIRSLIDE                           "
37BFN04          ,"FAN, EXHAUST FOR 37BBF01 BAG FILTER     "
37BFN05          ,"FAN, AIRSLIDE                           "
37BFN06          ,"FAN, AIRSLIDE                           "
37BLQ01          ,"PUMP, LUBRICATION FOR SC BEARING        "
37BRF01          ,"FEEDER, ROTARY R/MEAL EP HOPPER         "
37BRF02          ,"FEEDER, ROTARY R/MEAL EP HOPPER         "
37BRF03          ,"FEEDER, ROTARY R/MEAL EP HOPPER         "
37BRF04          ,"FEEDER, ROTARY BAG FILTER               "
37BSC01          ,"CONVEYOR, SCREW RP CYCLONE SEPARATOR    "
37BSC02          ,"CONVEYOR, SCREW RP CYCLONE SEPARATOR    "
37BSC03          ,"CONVEYOR, SCREW RP CYCLONE SEPARATOR    "
37BSC04          ,"CONVEYOR, SCREW RP CYCLONE SEPARATOR    "
37BSC05          ,"CONVEYOR, SCREW NEW EP                  "
37BSC06          ,"CONVEYOR, SCREW FROM NEW EP TO BUCKET   "
37BSG01          ,"GATE , SHUT OFF                         "
37BSG02          ,"GATE , SHUT OFF                         "
37C              ,NEW EP RAW MEAL TRANSPORT               
37CCV01          ,"CONVEYOR, CHAIN UNDER NEW EP            "
37CRF01          ,"FEEDER, ROTARY UNDER NEW EP CHAIN CONV. "
37CRF02          ,"FEEDER, ROTARY AT EP INLET DUCT         "
37CSC01          ,"CONVEYOR, SCREW FOR COLLECTED EP DUST   "
37CSC02          ,"CONVEYOR, SCREW FOR COLLECTED EP DUST   "
400,KILN 1 GROUP                            
400LG01          ,LIGHTING KILN NO.1                      
41A              ,RM SILO EXTRACTION AND TRANSPORT        
41A2K1A          ,"ANALYZER, GAS 41A STRING A CO2/O2       "
41AAE01          ,"AERATION, SYSTEM RAW MIX SILO X         "
41AAL01          ,"AIR LIFT TO RAW MIX SILO, OLD           "
41AAS01          ,AIR SLIDE TO RAW MIX SILO X             
41AAS02          ,AIR SLIDE TO RAW MIX SILO 1             
41AAS03          ,AIR SLIDE RAW MIX SILO X TO SILO 1      
41ABF01          ,"FILTER, BAG                             "
41ABF02          ,"FILTER, BAG FOR RAW MIX SILO 1 TOP      "
41ABF03          ,"FILTER, BAG FOR RAW MIX SILO 1 TOP      "
41ACN01          ,"CYCLONE, RECEIVING                      "
41ACP01          ,"COMPRESSOR, AIR FOR BAG FILTER BF1      "
41ACP02          ,"COMPRESSOR, AIR, HOMO                   "
41ACP03          ,"COMPRESSOR, AIR, HOMO                   "
41ACP04          ,"COMPRESSOR, AIR, HOMO                   "
41ACP05          ,"COMPRESSOR, AIR FOR SAMPLING UNIT       "
41ACP06          ,"COMPRESSOR, AIR SILO TOP                "
41ADG01          ,"GATE, DIVERTER AIRSLIDE INTO SILO 1 & A "
41AFN01          ,"FAN, EXHAUST                            "
41AFN02          ,"FAN, AIRSLIDE                           "
41AFN03          ,"FAN, DUST PLANT HOMO SILO               "
41AFN04          ,"FAN, DUST PLANT HOMO SILO               "
41AFN05          ,"FAN, EXHAUST BAG FILTER                 "
41APG01          ,"GATE, PNEUMATIC RAW MIX SILO X DISCHARGE"
41ASG01          ,"GATE, SHUT OFF RAW MIX SILO X DISCHARGE "
41ASG02          ,GATE RAW MIX SILO X TO SILO 3           
41B              ,STRING B RM TRANSPORT AND PH FEED       
41B2K1A          ,"ANALYZER, GAS 41B STRING B CO2/O2       "
41BAS01          ,AIR SLIDE RAW MEAL                      
41BAS02          ,AIR SLIDE RAW MEAL DISCHARGE            
41BAS03          ,AIR SLIDE                               
41BAS04          ,AIR SLIDE                               
41BAS05          ,AIR SLIDE                               
41BAS06          ,AIR SLIDE                               
41BAS07          ,AIR SLIDE                               
41BAS08          ,AIR SLIDE                               
41BAS09          ,AIR SLIDE                               
41BAS0A          ,AIR SLIDE                               
41BAS0B          ,AIR SLIDE                               
41BAS0C          ,AIR SLIDE                               
41BAS0D          ,AS TO CON. BIN DIVERT TO RM AIRLIFT     
41BAS0E          ,AS TO CONTROL BIN DIVERT TO RM AIRLIFT  
